activity_period,operating_airline,operating_airline_iata,published_airline,published_airline_iata,geo_summary,geo_region,activity_type,price_category,terminal,boarding_area,passenger_count
201701,United Airlines,UA,United Airlines,UA,International,Middle East,Enplaned,Other,International,G,4990
201701,Virgin America,VX,Virgin America,VX,Domestic,US,Deplaned,Low Fare,Terminal 2,D,182203
201701,Virgin America,VX,Virgin America,VX,Domestic,US,Enplaned,Low Fare,Terminal 2,D,173775
201701,Virgin America,VX,Virgin America,VX,International,Mexico,Deplaned,Low Fare,International,A,4995
201701,Virgin America,VX,Virgin America,VX,International,Mexico,Enplaned,Low Fare,Terminal 2,D,4278
201701,Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Deplaned,Other,International,A,11064
201701,Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Enplaned,Other,International,A,8915
201701,Volaris Airlines,Y4,Volaris Airlines,Y4,International,Mexico,Deplaned,Low Fare,International,A,5755
201701,Volaris Airlines,Y4,Volaris Airlines,Y4,International,Mexico,Enplaned,Low Fare,International,A,4152
201701,WOW Air,WW,WOW Air,WW,International,Europe,Enplaned,Other,International,A,4228
201701,WOW Air,WW,WOW Air,WW,International,Europe,Deplaned,Other,International,G,4721
201702,Aer Lingus,EI,Aer Lingus,EI,International,Europe,Deplaned,Other,International,G,3603
201702,Aer Lingus,EI,Aer Lingus,EI,International,Europe,Enplaned,Other,International,G,3343
201702,Aeromexico,AM,Aeromexico,AM,International,Mexico,Deplaned,Other,International,A,9676
201702,Aeromexico,AM,Aeromexico,AM,International,Mexico,Enplaned,Other,International,A,9896
201702,Air Canada,AC,Air Canada,AC,International,Canada,Deplaned,Other,International,G,28371
201702,Air Canada,AC,Air Canada,AC,International,Canada,Enplaned,Other,International,G,27398
201702,Air China,CA,Air China,CA,International,Asia,Deplaned,Other,International,G,10248
201702,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,10556
201702,Air France,AF,Air France,AF,International,Europe,Deplaned,Other,International,A,7210
201702,Air France,AF,Air France,AF,International,Europe,Enplaned,Other,International,A,7121
201702,Air India Limited,AI,Air India Limited,AI,International,Asia,Deplaned,Other,International,G,5247
201702,Air India Limited,AI,Air India Limited,AI,International,Asia,Enplaned,Other,International,G,4415
201702,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Deplaned,Other,International,G,7490
201702,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Enplaned,Other,International,G,8033
201702,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Deplaned,Other,International,A,49910
201702,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Enplaned,Other,International,A,50417
201702,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Deplaned,Other,International,A,6460
201702,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Enplaned,Other,International,A,6203
201702,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Deplaned,Other,International,G,6264
201702,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Enplaned,Other,International,G,5514
201702,American Airlines,AA,American Airlines,AA,Domestic,US,Deplaned,Other,Terminal 1,C,75278
201702,American Airlines,AA,American Airlines,AA,Domestic,US,Enplaned,Other,Terminal 1,C,72500
201702,American Airlines,AA,American Airlines,AA,Domestic,US,Deplaned,Other,Terminal 2,D,47694
201702,American Airlines,AA,American Airlines,AA,Domestic,US,Enplaned,Other,Terminal 2,D,50033
201702,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Deplaned,Other,International,A,7619
201702,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Enplaned,Other,International,A,7417
201702,British Airways,BA,British Airways,BA,International,Europe,Deplaned,Other,International,A,14792
201702,British Airways,BA,British Airways,BA,International,Europe,Enplaned,Other,International,A,13864
201702,"COPA Airlines, Inc.",CM,"COPA Airlines, Inc.",CM,International,Central America,Deplaned,Other,International,G,6723
201702,"COPA Airlines, Inc.",CM,"COPA Airlines, Inc.",CM,International,Central America,Enplaned,Other,International,G,6006
201702,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Deplaned,Other,International,A,16866
201702,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Enplaned,Other,International,A,18096
201702,China Airlines,CI,China Airlines,CI,International,Asia,Deplaned,Other,International,A,8572
201702,China Airlines,CI,China Airlines,CI,International,Asia,Enplaned,Other,International,A,8501
201702,China Eastern,MU,China Eastern,MU,International,Asia,Deplaned,Other,International,A,7685
201702,China Eastern,MU,China Eastern,MU,International,Asia,Enplaned,Other,International,A,7335
201702,China Southern,CZ,China Southern,CZ,International,Asia,Deplaned,Other,International,A,5507
201702,China Southern,CZ,China Southern,CZ,International,Asia,Enplaned,Other,International,A,5268
201702,Compass Airlines,CP,Delta Air Lines,DL,Domestic,US,Deplaned,Other,Terminal 1,C,3938
201702,Compass Airlines,CP,Delta Air Lines,DL,Domestic,US,Enplaned,Other,Terminal 1,C,3915
201702,Compass Airlines,CP,American Airlines,AA,Domestic,US,Deplaned,Other,Terminal 2,D,18698
201702,Compass Airlines,CP,American Airlines,AA,Domestic,US,Enplaned,Other,Terminal 2,D,19330
201702,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Deplaned,Other,Terminal 1,C,94320
201702,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Enplaned,Other,Terminal 1,C,91569
201702,EVA Airways,BR,EVA Airways,BR,International,Asia,Deplaned,Other,International,G,15484
201702,EVA Airways,BR,EVA Airways,BR,International,Asia,Enplaned,Other,International,G,15037
201702,Emirates,EK,Emirates,EK,International,Middle East,Deplaned,Other,International,A,11521
201702,Emirates,EK,Emirates,EK,International,Middle East,Enplaned,Other,International,A,9391
201702,Etihad Airways,EY,Etihad Airways,EY,International,Middle East,Deplaned,Other,International,A,2720
201702,Etihad Airways,EY,Etihad Airways,EY,International,Middle East,Enplaned,Other,International,A,2318
201702,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Deplaned,Low Fare,Terminal 1,B,16633
201702,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Enplaned,Low Fare,Terminal 1,B,17236
201702,Hawaiian Airlines,HA,Hawaiian Airlines,HA,Domestic,US,Deplaned,Other,International,A,12390
201702,Hawaiian Airlines,HA,Hawaiian Airlines,HA,Domestic,US,Enplaned,Other,International,A,13038
201702,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Deplaned,Other,International,A,5518
201702,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Enplaned,Other,International,A,5002
201702,Jazz Aviation,QK,Air Canada,AC,International,Canada,Deplaned,Other,International,G,1767
201702,Jazz Aviation,QK,Air Canada,AC,International,Canada,Enplaned,Other,International,G,1713
201702,JetBlue Airways,B6,JetBlue Airways,B6,Domestic,US,Deplaned,Low Fare,International,A,58866
201702,JetBlue Airways,B6,JetBlue Airways,B6,Domestic,US,Enplaned,Low Fare,International,A,60606
201702,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Deplaned,Other,International,A,7148
201702,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Enplaned,Other,International,A,5950
201702,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Deplaned,Other,International,A,8358
201702,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Enplaned,Other,International,A,8646
201702,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Deplaned,Other,International,G,16707
201702,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Enplaned,Other,International,G,15774
201702,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Deplaned,Other,International,A,10180
201702,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Enplaned,Other,International,A,8885
201702,Qantas Airways,QF,Qantas Airways,QF,International,Australia / Oceania,Deplaned,Other,International,A,4962
201702,Qantas Airways,QF,Qantas Airways,QF,International,Australia / Oceania,Enplaned,Other,International,A,6428
201702,SAS Airlines,SK,SAS Airlines,SK,International,Europe,Deplaned,Other,International,G,5147
201702,SAS Airlines,SK,SAS Airlines,SK,International,Europe,Enplaned,Other,International,G,4403
201702,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Deplaned,Other,International,G,11493
201702,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Enplaned,Other,International,G,12338
201702,SkyWest Airlines,OO,Delta Air Lines,DL,Domestic,US,Deplaned,Other,Terminal 1,C,27745
201702,SkyWest Airlines,OO,Delta Air Lines,DL,Domestic,US,Enplaned,Other,Terminal 1,C,26339
201702,SkyWest Airlines,OO,United Airlines,UA,Domestic,US,Deplaned,Other,Terminal 3,F,115753
201702,SkyWest Airlines,OO,United Airlines,UA,Domestic,US,Enplaned,Other,Terminal 3,F,113678
201702,SkyWest Airlines,OO,United Airlines,UA,International,Canada,Deplaned,Other,International,G,1041
201702,SkyWest Airlines,OO,United Airlines,UA,International,Canada,Deplaned,Other,Terminal 3,F,4634
201702,SkyWest Airlines,OO,United Airlines,UA,International,Canada,Enplaned,Other,Terminal 3,F,5819
201702,Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Deplaned,Low Fare,Terminal 1,B,116050
201702,Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Enplaned,Low Fare,Terminal 1,B,114709
201702,Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Thru / Transit,Low Fare,Terminal 1,B,24
201702,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Deplaned,Low Fare,International,A,2250
201702,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Enplaned,Low Fare,International,A,2234
201702,Sun Country Airlines,SY,Sun Country Airlines,SY,International,Mexico,Deplaned,Low Fare,International,A,778
201702,Sun Country Airlines,SY,Sun Country Airlines,SY,International,Mexico,Enplaned,Low Fare,International,A,1097
201702,Swiss International,LX,Swiss International,LX,International,Europe,Deplaned,Other,International,G,5139
201702,Swiss International,LX,Swiss International,LX,International,Europe,Enplaned,Other,International,G,4967
201702,"TACA International Airlines, S.A.",TA,"TACA International Airlines, S.A.",TA,International,Central America,Deplaned,Other,International,A,4971
201702,"TACA International Airlines, S.A.",TA,"TACA International Airlines, S.A.",TA,International,Central America,Enplaned,Other,International,A,4611
201702,Turkish Airlines,TK,Turkish Airlines,TK,International,Europe,Deplaned,Other,International,G,5863
201702,Turkish Airlines,TK,Turkish Airlines,TK,International,Europe,Enplaned,Other,International,G,5549
201702,United Airlines,UA,United Airlines,UA,Domestic,US,Deplaned,Other,International,G,11420
201702,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Other,International,G,19154
201702,United Airlines,UA,United Airlines,UA,Domestic,US,Deplaned,Other,Terminal 3,E,223903
201702,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Other,Terminal 3,E,229345
